IPA,Pinyin,Wade–Giles,Bopomofo,ChineseExample,Englishapproximation
f,f,ㄈ,非,fan
j,y,ㄧ,牙,yes
k,g,k,ㄍ,干,skin
kʰ,k,k',ㄎ,口,kin
l,l,ㄌ,來（来）,leaf
m,m,ㄇ,明,moon
n,n,ㄋ，ㄣ，ㄢ,泥,noon
ŋ,ng,ㄥ，ㄤ,江,song
p,b,p,ㄅ,幫（帮）,span
pʰ,p,p',ㄆ,滂,pan
ɻ,r,j,ㄖ,日,row
s,s,ㄙ,私,same
ʂ,sh,ㄕ,矢,show
t,d,t,ㄉ,端,stop
tʰ,t,t',ㄊ,透,top
ts,z,ts,ㄗ,子,buds
tsʰ,c,ts',ㄘ,此,cats
tɕ,j,ch,ㄐ,叫,somewhat like jean[b]
tɕʰ,q,ch',ㄑ,去,somewhat like cheese[b]
ɕ,x,hs,ㄒ,曉（晓）,somewhat like sheep[b]
ʈʂ,zh,ch,ㄓ,之,jar
ʈʂʰ,ch,ch',ㄔ,吃,church
w,w,ㄨ,我,water
x,h,ㄏ,火,horror
ɥ,yu,yü-/-ü-,ㄩ,月,no English equivalent; like French huit